seed,mode,mixture_l2,worst_expert_l2,soft_routing_regret,mixture_mse,weighted_expert_mse,aggregation_gain_ratio,mixture_identity_max_abs,test_total_points,test_overlap_excluded,test_disjoint_points
42,staged,0.21803591772016997,0.2877326330149761,0.001167827121038524,0.0024058407565885824,0.0027004597338192897,0.1090995631377271,1.7881393432617188e-07,217792,12,217780
42,coadapt,0.16382263809955866,28.747065289018444,0.3077115034362976,0.0013581840441165012,0.31016640370704784,0.9956211116746244,1.7881393432617188e-07,217792,12,217780
43,staged,0.1851929164110498,0.2700523543057101,0.0006336784662298406,0.0017356395408548813,0.0019246258669570256,0.09819379929718267,1.1920928955078125e-07,217792,12,217780
43,coadapt,0.13004596028830365,5.296260272799475,0.016583314470597632,0.0008558635394404583,0.017449002623195927,0.9509505753467701,1.1920928955078125e-07,217792,12,217780
44,staged,0.18477419207526743,0.2680596225239577,0.0006382565857252387,0.001727799792706755,0.001953522515715928,0.11554651722375976,1.1920928955078125e-07,217792,12,217780
44,coadapt,0.17291766299878922,12.01578759759625,0.061571344640915064,0.0015131762223474315,0.06256285831367196,0.9758135055984686,1.7881393432617188e-07,217792,12,217780
45,staged,0.18846158874961805,0.25782073051989146,0.0006585261946208501,0.0017974486386318604,0.001970708872781135,0.08791772165959934,1.1920928955078125e-07,217792,12,217780
45,coadapt,0.12671283268835734,22.03535594046076,0.13058504262857654,0.0008125535519043768,0.13141449880969122,0.9938168652678037,1.1920928955078125e-07,217792,12,217780
46,staged,0.2018130335633138,0.2931790571533499,0.0010518467912971256,0.0020611481776994915,0.0023952792710823564,0.1394956727663246,1.1920928955078125e-07,217792,12,217780
46,coadapt,0.17978183026823152,6.895238866246374,0.03233552083093051,0.0016356952347317954,0.03380804805062707,0.9516181699611179,1.7881393432617188e-07,217792,12,217780
47,staged,0.17953900934910985,0.2564845687307258,0.0005596885079604834,0.0016312797407411822,0.0017985135862947377,0.0929844771971322,1.1920928955078125e-07,217792,12,217780
47,coadapt,0.14059438588791168,11.05772076270273,0.06945516483161981,0.0010003379655110633,0.07054093821945728,0.9858190436537866,1.7881393432617188e-07,217792,12,217780
48,staged,0.19728073213461347,0.2724029629811483,0.0008144088991844205,0.001969609523553694,0.0021918711010050695,0.10140266795317421,1.1920928955078125e-07,217792,12,217780
48,coadapt,0.12883721911834792,11.096557975499248,0.09603723597509338,0.0008400274501539694,0.09743243933501206,0.9913783596522139,1.7881393432617188e-07,217792,12,217780
49,staged,0.1876606307794325,0.2453565419115249,0.0007163518574886384,0.0017822028634544296,0.0020037234163863458,0.11055445632881895,1.7881393432617188e-07,217792,12,217780
49,coadapt,0.14793990088414724,19.67329194041541,0.2043937723065378,0.0011075961573651077,0.20597760011963173,0.9946227349152441,1.7881393432617188e-07,217792,12,217780
50,staged,0.20409122693711576,0.30849647293966276,0.0010831292540602353,0.002107945929286576,0.0023722204287505823,0.11140385449053579,1.1920928955078125e-07,217792,12,217780
50,coadapt,0.12590932786735445,13.758698658713138,0.08320137106858135,0.0008022811802082258,0.08440835609882162,0.9904952398401297,1.7881393432617188e-07,217792,12,217780
51,staged,0.17688617322872247,0.25940107139417107,0.0007458066965030579,0.001583428897387704,0.0018727529671222053,0.15449131562669235,1.1920928955078125e-07,217792,12,217780
51,coadapt,0.13478940635502998,23.703386241826255,0.10753257276487614,0.000919437715711227,0.10899966209333492,0.9915647654492367,1.1920928955078125e-07,217792,12,217780
